T402,1109.5,1708.6,1481.4,355.3,1246.6,6838.4,5367.7,2169.8,377.8,350.6,4118.6,6472.2,11358.7,4081,479.3,535.6,3651.8,8477.3,8484.8,4867.1,769.5,55,158.1,418.2,624.8,1216.5,1140.4
T404,1857,3665.9,3476.2,121.4,1567.8,11577.5,12148.6,6329.4,1200.6,477.4,8010.5,2148.2,29742.2,10824.3,1759.4,1352.7,9054.9,20657.5,20660.3,11656.4,2445,199.4,885.9,1370.5,1460.7,1803.5,1867.4
T405,1800.7,6202.6,6048.6,276.4,1844.8,17825,21155.3,12836,2414.9,523.4,13669.1,2825.3,40046.9,17401.4,3085.5,2871.4,17545.1,29929.1,29526.2,14952,3429.2,961.1,2125.6,3531.6,2140.7,1968.8,2626.2
T406,713.1,1212.8,710.3,413.5,781.7,5148.9,4583.5,1331.1,144.9,219.1,3640.5,6186.7,8137.3,2583,276.4,450.1,2432.8,5473.8,5273.8,2624.3,361.9,62.3,170.3,385.3,487.7,731,1060.6
T407,543.1,1376.2,1427.8,371.3,502.7,3525,5407.1,1866.4,270.8,199.4,2692,7691.2,7070.4,2074,337.4,175.9,1389.3,2973.7,2613.1,1269.1,206,55,62.3,161.8,265.1,237.9,505.6
T408,1227.8,2568,1560.3,124.3,1211.8,8828.6,8266.9,3419.8,499.9,337.4,6002.6,2750.2,14767.9,4982.6,696.2,717.8,4497.1,8537.4,8274.4,3870.6,565.7,55.7,190,513.1,429.5,795.8,1011.8
T500,566.6,543.1,586.3,214.4,566.6,3314.6,4162.7,1438.2,332.8,142.1,1997,6360.4,8232.2,4461.4,819.2,395.7,1844.8,3697.8,5196.8,4375,1863.6,55,76.4,221,297.1,549.7,710.3
T501,136.5,103.6,159.9,134.6,144,888.7,1214.6,374.1,146.8,78.2,544.1,1715.2,2332.3,1852.3,361.9,62.3,352.5,977,1989.5,1894.6,1032.4,55,55,55,146.8,288.6,511.2
T502 (301),267.9,177.8,199.4,226.6,309.3,1281.3,1821.3,550.6,250.1,96.1,833.3,3013.2,4560.9,3294,792,108.3,452,1855.2,3764.5,4288.6,2575.5,55,55,83.9,195.6,334.6,618.3
T503(302),129.9,163.7,122.4,55.7,143,623,960.1,283,55,92.3,374.1,1604.4,2291.9,1596.9,280.2,78.2,230.4,858.7,1639.1,1709.6,877.5,55,55,55,72.6,284.9,331.8
T504 (303),417.3,893.4,947,596.7,374.1,2210.2,3374.8,2114.4,511.2,128,1656.1,5969.7,6920.2,4860.5,1426,144.9,896.3,2622.5,3834,3957,2202.7,55,55,67,191.9,376.9,511.2
T505,467.1,720.6,570.4,200.3,457.7,2255.3,3184.1,1348,344,151.5,1297.3,4946,6365.1,4236.9,995.8,76.4,518.7,1990.4,3217,3055.4,1870.2,55,55,55,193.8,527.2,821.1
T506,630.5,776,733.8,177.8,575.1,3215.1,4885.9,1662.6,680.2,125.2,2073,6914.5,9225.8,6824.4,1583.7,213.5,1110.4,3303.4,5944.3,5916.2,3131.5,55,55,155.2,345,763.8,1461.6
