,,Identification of these components should be considered tentative until confirmed with standards,,,,,,,,,
UO ID,Sample Index,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ <0.5pmol,,,
T405,26,24:1hexosylCer2,1.34E+03,4.87E+03,0.274,12.31,5.4,,,,
T406,27,24:1hexosylCer2,2.66E+03,5.47E+03,0.485,12.15,9.7,,,,
T407,28,24:1hexosylCer2,8.02E+03,4.79E+03,1.674,12.28,33.9,,,,
T408,29,24:1hexosylCer2,3.58E+03,6.63E+03,0.54,12.14,10.8,,,,
T500,30,24:1hexosylCer2,9.70E+03,4.62E+03,2.098,12.17,42.5,,,,
T501,31,24:1hexosylCer2,2.69E+03,5.16E+03,0.522,12.24,10.4,,,,
T502,32,24:1hexosylCer2,4.37E+03,4.37E+03,1.002,12.29,20.2,,,,
T503,33,24:1hexosylCer2,6.18E+03,5.19E+03,1.191,12.45,24.0,,,,
T504,34,24:1hexosylCer2,3.70E+03,4.74E+03,0.781,12.14,15.7,,,,
T505,35,24:1hexosylCer2,3.76E+03,4.14E+03,0.908,12.36,18.3,,,,
T506,36,24:1hexosylCer2,4.37E+03,3.52E+03,1.243,12.14,25.1,,,,
