UO ID,Sample ,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,ref std
T311,20,16:0SPM,1.18E+06,6.08E+04,19.406,13.37,5375.4,18:0SPM
T312,21,16:0SPM,9.56E+05,6.67E+04,14.3434,13.4,3973.0,18:0SPM
T400,22,16:0SPM,8.31E+05,5.57E+04,14.9112,13.37,4130.3,18:0SPM
T401,23,16:0SPM,8.58E+05,6.60E+04,13.0048,13.36,3602.2,18:0SPM
T402,24,16:0SPM,8.78E+05,5.91E+04,14.8506,13.37,4113.5,18:0SPM
T404,25,16:0SPM,1.16E+06,7.07E+04,16.3488,13.39,4528.5,18:0SPM
T405,26,16:0SPM,1.19E+06,6.66E+04,17.8397,13.37,4941.5,18:0SPM
T406,27,16:0SPM,1.02E+06,6.37E+04,15.9493,13.51,4417.9,18:0SPM
T407,28,16:0SPM,9.27E+05,7.00E+04,13.2306,13.36,3664.8,18:0SPM
T408,29,16:0SPM,9.95E+05,7.15E+04,13.9194,13.56,3855.6,18:0SPM
T500,30,16:0SPM,1.01E+06,6.63E+04,15.2941,13.39,4236.4,18:0SPM
T501,31,16:0SPM,9.98E+05,7.02E+04,14.2123,13.54,3936.7,18:0SPM
T502,32,16:0SPM,8.93E+05,7.14E+04,12.5112,13.42,3465.5,18:0SPM
T503,33,16:0SPM,9.61E+05,7.61E+04,12.6296,13.55,3498.3,18:0SPM
T504,34,16:0SPM,1.04E+06,6.84E+04,15.1265,13.45,4189.9,18:0SPM
T505,35,16:0SPM,9.24E+05,7.00E+04,13.2073,13.38,3658.3,18:0SPM
T506,36,16:0SPM,9.58E+05,7.35E+04,13.0412,13.39,3612.3,18:0SPM
T101,1,16:1SPM,3.76E+04,7.17E+04,0.5248,13.4,145.1,18:0SPM
T103,2,16:1SPM,3.76E+04,5.98E+04,0.6295,13.56,174.1,18:0SPM
T104,3,16:1SPM,3.42E+04,4.80E+04,0.713,13.39,197.3,18:0SPM
T105,4,16:1SPM,3.98E+04,8.09E+04,0.4918,13.4,136.0,18:0SPM
T106,5,16:1SPM,4.16E+04,6.49E+04,0.6415,13.59,177.5,18:0SPM
T107,6,16:1SPM,4.36E+04,5.75E+04,0.7575,13.57,209.6,18:0SPM
T108,7,16:1SPM,3.69E+04,5.31E+04,0.6947,13.6,192.2,18:0SPM
T109,8,16:1SPM,2.72E+04,6.09E+04,0.4462,13.59,123.4,18:0SPM
T201,9,16:1SPM,2.67E+04,5.57E+04,0.4799,13.58,132.7,18:0SPM
T202,10,16:1SPM,3.44E+04,6.17E+04,0.5574,13.42,154.2,18:0SPM
T203,11,16:1SPM,3.89E+04,6.29E+04,0.6192,13.35,171.3,18:0SPM
T204,12,16:1SPM,3.56E+04,6.55E+04,0.5435,13.42,150.3,18:0SPM
T205,13,16:1SPM,4.02E+04,6.09E+04,0.6607,13.42,182.8,18:0SPM
T304,14,16:1SPM,3.79E+04,6.49E+04,0.5848,13.42,161.8,18:0SPM
T305,15,16:1SPM,2.58E+04,7.85E+04,0.3289,13.44,90.9,18:0SPM
T306,16,16:1SPM,5.06E+04,6.62E+04,0.7642,13.45,211.5,18:0SPM
T307,17,16:1SPM,4.02E+04,8.42E+04,0.4777,13.45,132.1,18:0SPM
T308,18,16:1SPM,2.49E+04,7.58E+04,0.3287,13.45,90.8,18:0SPM
T309,19,16:1SPM,4.11E+04,6.81E+04,0.6033,13.43,166.9,18:0SPM
T311,20,16:1SPM,4.45E+04,6.08E+04,0.7314,13.44,202.4,18:0SPM
T312,21,16:1SPM,3.54E+04,6.67E+04,0.5313,13.46,146.9,18:0SPM
T400,22,16:1SPM,3.03E+04,5.57E+04,0.544,13.44,150.5,18:0SPM
T401,23,16:1SPM,2.07E+04,6.60E+04,0.3132,13.41,86.5,18:0SPM
T402,24,16:1SPM,2.27E+04,5.91E+04,0.3835,13.45,106.0,18:0SPM
T404,25,16:1SPM,3.34E+04,7.07E+04,0.4722,13.45,130.6,18:0SPM
T405,26,16:1SPM,3.13E+04,6.66E+04,0.4692,13.44,129.7,18:0SPM
T406,27,16:1SPM,4.20E+04,6.37E+04,0.6585,13.58,182.2,18:0SPM
T407,28,16:1SPM,4.12E+04,7.00E+04,0.588,13.42,162.6,18:0SPM
T408,29,16:1SPM,4.26E+04,7.15E+04,0.5965,13.63,165.0,18:0SPM
T500,30,16:1SPM,3.19E+04,6.63E+04,0.4811,13.46,133.0,18:0SPM
T501,31,16:1SPM,4.19E+04,7.02E+04,0.596,13.61,164.9,18:0SPM
T502,32,16:1SPM,2.55E+04,7.14E+04,0.3571,13.49,98.7,18:0SPM
T503,33,16:1SPM,4.20E+04,7.61E+04,0.5519,13.63,152.6,18:0SPM
T504,34,16:1SPM,3.47E+04,6.84E+04,0.5076,13.51,140.4,18:0SPM
T505,35,16:1SPM,3.61E+04,7.00E+04,0.5162,13.46,142.8,18:0SPM
T506,36,16:1SPM,3.76E+04,7.35E+04,0.5116,13.46,141.5,18:0SPM
T101,1,18:0SPM,1.36E+06,7.17E+04,18.9107,13.19,5238.2,18:0SPM
T103,2,18:0SPM,1.37E+06,5.98E+04,22.8529,13.35,6330.2,18:0SPM
T104,3,18:0SPM,1.56E+06,4.80E+04,32.5566,13.18,9018.2,18:0SPM
T105,4,18:0SPM,1.35E+06,8.09E+04,16.6727,13.2,4618.2,18:0SPM
T106,5,18:0SPM,1.55E+06,6.49E+04,23.8678,13.38,6611.3,18:0SPM
T107,6,18:0SPM,1.46E+06,5.75E+04,25.4479,13.37,7049.0,18:0SPM
T108,7,18:0SPM,1.30E+06,5.31E+04,24.5595,13.39,6803.0,18:0SPM
T109,8,18:0SPM,1.42E+06,6.09E+04,23.3023,13.39,6454.7,18:0SPM
T201,9,18:0SPM,1.25E+06,5.57E+04,22.4832,13.39,6227.8,18:0SPM
T202,10,18:0SPM,1.52E+06,6.17E+04,24.6248,13.22,6821.0,18:0SPM
T203,11,18:0SPM,1.30E+06,6.29E+04,20.6315,13.14,5714.9,18:0SPM
T204,12,18:0SPM,1.28E+06,6.55E+04,19.4948,13.22,5400.0,18:0SPM
T205,13,18:0SPM,1.27E+06,6.09E+04,20.9036,13.21,5790.2,18:0SPM
T304,14,18:0SPM,1.21E+06,6.49E+04,18.6524,13.22,5166.6,18:0SPM
T305,15,18:0SPM,1.39E+06,7.85E+04,17.632,13.24,4884.0,18:0SPM
T306,16,18:0SPM,1.25E+06,6.62E+04,18.9158,13.25,5239.6,18:0SPM
T307,17,18:0SPM,1.54E+06,8.42E+04,18.2563,13.25,5056.9,18:0SPM
T308,18,18:0SPM,1.47E+06,7.58E+04,19.4282,13.23,5381.5,18:0SPM
T309,19,18:0SPM,1.54E+06,6.81E+04,22.623,13.23,6266.5,18:0SPM
T311,20,18:0SPM,1.36E+06,6.08E+04,22.4361,13.23,6214.8,18:0SPM
T312,21,18:0SPM,1.32E+06,6.67E+04,19.8659,13.26,5502.8,18:0SPM
T400,22,18:0SPM,1.47E+06,5.57E+04,26.3093,13.24,7287.7,18:0SPM
T401,23,18:0SPM,1.31E+06,6.60E+04,19.7829,13.22,5479.8,18:0SPM
T402,24,18:0SPM,1.71E+06,5.91E+04,28.8819,13.24,8000.3,18:0SPM
T404,25,18:0SPM,1.68E+06,7.07E+04,23.683,13.26,6560.2,18:0SPM
T405,26,18:0SPM,1.36E+06,6.66E+04,20.3331,13.24,5632.2,18:0SPM
T406,27,18:0SPM,1.55E+06,6.37E+04,24.3707,13.37,6750.7,18:0SPM
T407,28,18:0SPM,1.83E+06,7.00E+04,26.1105,13.22,7232.6,18:0SPM
T408,29,18:0SPM,1.95E+06,7.15E+04,27.3172,13.43,7566.9,18:0SPM
T500,30,18:0SPM,1.82E+06,6.63E+04,27.5208,13.26,7623.3,18:0SPM
T501,31,18:0SPM,1.89E+06,7.02E+04,26.9468,13.4,7464.3,18:0SPM
T502,32,18:0SPM,1.58E+06,7.14E+04,22.0644,13.29,6111.8,18:0SPM
T503,33,18:0SPM,1.67E+06,7.61E+04,21.9293,13.42,6074.4,18:0SPM
T504,34,18:0SPM,1.80E+06,6.84E+04,26.318,13.31,7290.1,18:0SPM
T505,35,18:0SPM,1.68E+06,7.00E+04,24.0397,13.25,6659.0,18:0SPM
T506,36,18:0SPM,1.41E+06,7.35E+04,19.1379,13.25,5301.1,18:0SPM
T101,1,18:1SPM,1.41E+05,7.17E+04,1.971,13.26,545.7,18:0SPM
T103,2,18:1SPM,1.31E+05,5.98E+04,2.1836,13.42,604.6,18:0SPM
T104,3,18:1SPM,1.10E+05,4.80E+04,2.2937,13.25,635.1,18:0SPM
T105,4,18:1SPM,1.25E+05,8.09E+04,1.5445,13.27,427.6,18:0SPM
