UO ID,Sample ,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,ref std
T400,22,24:1SPM,2.99E+05,5.57E+04,5.3634,12.97,1980.1,24:1SPM
T401,23,24:1SPM,1.90E+05,6.60E+04,2.8854,12.96,1065.7,24:1SPM
T402,24,24:1SPM,2.65E+05,5.91E+04,4.4855,12.96,1656.2,24:1SPM
T404,25,24:1SPM,3.68E+05,7.07E+04,5.2047,12.99,1921.5,24:1SPM
T405,26,24:1SPM,2.23E+05,6.66E+04,3.3454,12.98,1235.5,24:1SPM
T406,27,24:1SPM,2.48E+05,6.37E+04,3.8868,13.1,1435.2,24:1SPM
T407,28,24:1SPM,3.17E+05,7.00E+04,4.527,12.96,1671.5,24:1SPM
T408,29,24:1SPM,2.85E+05,7.15E+04,3.9826,13.16,1470.6,24:1SPM
T500,30,24:1SPM,3.42E+05,6.63E+04,5.1665,12.99,1907.5,24:1SPM
T501,31,24:1SPM,2.89E+05,7.02E+04,4.116,13.12,1519.8,24:1SPM
T502,32,24:1SPM,2.12E+05,7.14E+04,2.9658,13.03,1095.4,24:1SPM
T503,33,24:1SPM,2.48E+05,7.61E+04,3.2585,13.14,1203.4,24:1SPM
T504,34,24:1SPM,3.09E+05,6.84E+04,4.5184,13.05,1668.3,24:1SPM
T505,35,24:1SPM,2.71E+05,7.00E+04,3.871,12.99,1429.4,24:1SPM
T506,36,24:1SPM,2.65E+05,7.35E+04,3.6024,13,1330.3,24:1SPM
T101,1,24:2SPM,9.85E+04,7.17E+04,1.3752,12.98,508.5,24:1SPM
T103,2,24:2SPM,1.18E+05,5.98E+04,1.9756,13.14,730.0,24:1SPM
T104,3,24:2SPM,1.38E+05,4.80E+04,2.8681,12.98,1059.3,24:1SPM
T105,4,24:2SPM,1.08E+05,8.09E+04,1.335,12.99,493.6,24:1SPM
T106,5,24:2SPM,1.35E+05,6.49E+04,2.0807,13.18,768.8,24:1SPM
T107,6,24:2SPM,1.85E+05,5.75E+04,3.207,13.17,1184.4,24:1SPM
T108,7,24:2SPM,1.45E+05,5.31E+04,2.7246,13.19,1006.4,24:1SPM
T109,8,24:2SPM,1.38E+05,6.09E+04,2.2667,13.19,837.4,24:1SPM
T201,9,24:2SPM,4.51E+04,5.57E+04,0.8089,13.18,299.5,24:1SPM
T202,10,24:2SPM,4.75E+04,6.17E+04,0.769,13.02,284.8,24:1SPM
T203,11,24:2SPM,5.55E+04,6.29E+04,0.8829,12.93,326.8,24:1SPM
T204,12,24:2SPM,8.20E+04,6.55E+04,1.2522,13.02,463.1,24:1SPM
T205,13,24:2SPM,5.32E+04,6.09E+04,0.8728,13.01,323.1,24:1SPM
T304,14,24:2SPM,1.81E+05,6.49E+04,2.7869,13.02,1029.4,24:1SPM
T305,15,24:2SPM,1.38E+05,7.85E+04,1.7569,13.04,649.3,24:1SPM
T306,16,24:2SPM,1.78E+05,6.62E+04,2.6823,13.05,990.8,24:1SPM
T307,17,24:2SPM,1.51E+05,8.42E+04,1.7967,13.04,664.0,24:1SPM
T308,18,24:2SPM,1.34E+05,7.58E+04,1.7667,13.02,652.9,24:1SPM
T309,19,24:2SPM,1.41E+05,6.81E+04,2.0671,13.03,763.8,24:1SPM
T311,20,24:2SPM,1.41E+05,6.08E+04,2.3102,13.03,853.5,24:1SPM
T312,21,24:2SPM,1.19E+05,6.67E+04,1.7861,13.06,660.1,24:1SPM
T400,22,24:2SPM,7.25E+04,5.57E+04,1.3004,13.03,480.8,24:1SPM
T401,23,24:2SPM,3.92E+04,6.60E+04,0.5944,13.02,220.3,24:1SPM
T402,24,24:2SPM,6.90E+04,5.91E+04,1.1679,13.04,432.0,24:1SPM
T404,25,24:2SPM,7.97E+04,7.07E+04,1.1266,13.05,416.7,24:1SPM
T405,26,24:2SPM,5.13E+04,6.66E+04,0.7693,13.03,284.9,24:1SPM
