UO ID,Sample Index,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ <5.0pmol,,Std Curvesand samples used 12:0GluCer as  IS
T401,23,23:0LacCer,8.22E+02,4.60E+03,0.179,13.24,18.9,,,
T402,24,23:0LacCer,9.92E+02,4.31E+03,0.23,13.44,24.7,,,
T404,25,23:0LacCer,8.79E+02,4.96E+03,0.177,13.3,18.7,,,
T405,26,23:0LacCer,1.05E+03,4.87E+03,0.215,13.37,23.0,,,
T406,27,23:0LacCer,1.50E+03,5.47E+03,0.275,13.25,29.8,,,
T407,28,23:0LacCer,9.07E+02,4.79E+03,0.189,13.27,20.1,,,
T408,29,23:0LacCer,7.94E+02,6.63E+03,0.12,13.19,12.2,,,
T500,30,23:0LacCer,1.87E+03,4.62E+03,0.405,13.27,44.5,,,
T501,31,23:0LacCer,1.73E+03,5.16E+03,0.335,13.25,36.6,,,
T502,32,23:0LacCer,1.53E+03,4.37E+03,0.351,13.37,38.4,,,
T503,33,23:0LacCer,1.87E+03,5.19E+03,0.361,13.49,39.6,,,
T504,34,23:0LacCer,2.16E+03,4.74E+03,0.455,13.2,50.2,,,
T505,35,23:0LacCer,1.76E+03,4.14E+03,0.425,13.38,46.8,,,
T506,36,23:0LacCer,9.09E+02,3.52E+03,0.258,13.2,27.9,,,
T101,1,24:0LacCer,6.41E+03,8.68E+03,0.739,13.23,82.4,,,
T103,2,24:0LacCer,3.52E+03,5.93E+03,0.593,13.17,65.9,,,
T104,3,24:0LacCer,3.66E+03,5.53E+03,0.662,13.36,73.7,,,
T105,4,24:0LacCer,3.15E+03,8.79E+03,0.358,13.31,39.2,,,
T106,5,24:0LacCer,2.92E+03,7.34E+03,0.398,13.13,43.8,,,
T107,6,24:0LacCer,3.12E+03,3.26E+03,0.957,13.29,107.1,,,
T108,7,24:0LacCer,3.79E+03,9.61E+03,0.395,13.21,43.4,,,
T109,8,24:0LacCer,2.50E+03,5.42E+03,0.461,13.27,50.9,,,
T201,9,24:0LacCer,3.12E+03,5.24E+03,0.595,13.23,66.1,,,
T202,10,24:0LacCer,3.06E+03,5.84E+03,0.524,13.46,58.0,,,
T203,11,24:0LacCer,2.69E+03,4.54E+03,0.594,13.4,66.0,,,
T204,12,24:0LacCer,2.41E+03,3.46E+03,0.698,13.23,77.8,,,
T205,13,24:0LacCer,2.61E+03,5.16E+03,0.505,13.33,55.9,,,
T304,14,24:0LacCer,1.64E+03,4.45E+03,0.369,13.15,40.5,,,
T305,15,24:0LacCer,1.11E+03,5.56E+03,0.199,13.51,21.2,,,
T306,16,24:0LacCer,1.87E+03,4.52E+03,0.414,13.46,45.6,,,
T307,17,24:0LacCer,2.10E+03,6.26E+03,0.335,13.33,36.6,,,
T308,18,24:0LacCer,1.81E+03,3.46E+03,0.525,13.16,58.2,,,
T309,19,24:0LacCer,2.47E+03,4.40E+03,0.561,13.29,62.2,,,
T311,20,24:0LacCer,2.47E+03,4.39E+03,0.561,13.16,62.2,,,
T312,21,24:0LacCer,1.79E+03,4.28E+03,0.417,13.36,45.9,,,
T400,22,24:0LacCer,3.06E+03,4.93E+03,0.621,13.17,69.0,,,
T401,23,24:0LacCer,3.26E+03,4.60E+03,0.709,13.18,79.0,,,
T402,24,24:0LacCer,3.22E+03,4.31E+03,0.746,13.39,83.2,,,
T404,25,24:0LacCer,2.72E+03,4.96E+03,0.549,13.25,60.9,,,
T405,26,24:0LacCer,2.93E+03,4.87E+03,0.601,13.32,66.8,,,
T406,27,24:0LacCer,2.59E+03,5.47E+03,0.474,13.2,52.4,,,
T407,28,24:0LacCer,2.86E+03,4.79E+03,0.598,13.22,66.4,,,
T408,29,24:0LacCer,3.60E+03,6.63E+03,0.543,13.15,60.2,,,
T500,30,24:0LacCer,1.51E+03,4.62E+03,0.327,13.21,35.7,,,
T501,31,24:0LacCer,2.16E+03,5.16E+03,0.418,13.2,46.0,,,
T502,32,24:0LacCer,8.30E+02,4.37E+03,0.19,13.31,20.2,,,
T503,33,24:0LacCer,1.47E+03,5.19E+03,0.284,13.44,30.8,,,
T504,34,24:0LacCer,1.65E+03,4.74E+03,0.347,13.16,38.0,,,
T505,35,24:0LacCer,1.13E+03,4.14E+03,0.272,13.32,29.5,,,
T506,36,24:0LacCer,9.07E+02,3.52E+03,0.258,13.15,27.9,,,
T101,1,24:1LacCer,3.71E+03,8.68E+03,0.428,13.31,47.2,,,
T103,2,24:1LacCer,2.32E+03,5.93E+03,0.392,13.29,43.1,,,
T104,3,24:1LacCer,2.28E+03,5.53E+03,0.413,13.44,45.5,,,
T105,4,24:1LacCer,3.07E+03,8.79E+03,0.349,13.43,38.2,,,
T106,5,24:1LacCer,2.70E+03,7.34E+03,0.368,13.23,40.4,,,
T107,6,24:1LacCer,4.08E+03,3.26E+03,1.253,13.39,140.7,,,
T108,7,24:1LacCer,4.59E+03,9.61E+03,0.478,13.33,52.8,,,
T109,8,24:1LacCer,2.13E+03,5.42E+03,0.394,13.37,43.3,,,
T201,9,24:1LacCer,1.62E+03,5.24E+03,0.308,13.32,33.6,,,
T202,10,24:1LacCer,1.25E+03,5.84E+03,0.214,13.55,22.9,,,
T203,11,24:1LacCer,1.08E+03,4.54E+03,0.238,13.5,25.6,,,
T204,12,24:1LacCer,7.60E+02,3.46E+03,0.22,13.33,23.6,,,
T205,13,24:1LacCer,1.99E+03,5.16E+03,0.385,13.43,42.3,,,
T304,14,24:1LacCer,1.98E+03,4.45E+03,0.445,13.26,49.1,,,
T305,15,24:1LacCer,7.96E+02,5.56E+03,0.143,13.61,14.8,,,
T306,16,24:1LacCer,2.27E+03,4.52E+03,0.501,13.56,55.4,,,
T307,17,24:1LacCer,1.84E+03,6.26E+03,0.294,13.44,32.0,,,
T308,18,24:1LacCer,1.24E+03,3.46E+03,0.359,13.26,39.3,,,
T309,19,24:1LacCer,1.64E+03,4.40E+03,0.374,13.4,41.0,,,
T311,20,24:1LacCer,2.58E+03,4.39E+03,0.587,13.27,65.2,,,
T312,21,24:1LacCer,1.50E+03,4.28E+03,0.351,13.44,38.4,,,
T400,22,24:1LacCer,1.53E+03,4.93E+03,0.31,13.28,33.8,,,
T401,23,24:1LacCer,1.13E+03,4.60E+03,0.247,13.29,26.6,,,
T402,24,24:1LacCer,1.33E+03,4.31E+03,0.309,13.49,33.7,,,
T404,25,24:1LacCer,1.36E+03,4.96E+03,0.274,13.36,29.7,,,
T405,26,24:1LacCer,9.84E+02,4.87E+03,0.202,13.41,21.5,,,
T406,27,24:1LacCer,1.52E+03,5.47E+03,0.277,13.32,30.0,,,
T407,28,24:1LacCer,1.59E+03,4.79E+03,0.331,13.32,36.2,,,
T408,29,24:1LacCer,2.38E+03,6.63E+03,0.359,13.24,39.3,,,
T500,30,24:1LacCer,1.53E+03,4.62E+03,0.33,13.34,36.0,,,
T501,31,24:1LacCer,1.98E+03,5.16E+03,0.384,13.3,42.2,,,
T502,32,24:1LacCer,9.36E+02,4.37E+03,0.214,13.42,22.9,,,
T503,33,24:1LacCer,1.38E+03,5.19E+03,0.266,13.56,28.8,,,
T504,34,24:1LacCer,1.30E+03,4.74E+03,0.274,13.25,29.7,,,
T505,35,24:1LacCer,2.01E+03,4.14E+03,0.486,13.43,53.7,,,
T506,36,24:1LacCer,9.92E+02,3.52E+03,0.282,13.26,30.6,,,
