UO ID	Sample	14:0/16:0	14:0/16:1	14:0/18:0	14:0/18:1	16:0/16:1	16:0/18:0	16:0/18:1	16:0/18:2	16:0/20:1	16:0/20:2	16:0/20:3	16:0/20:4	16:0/22:6	16:1/18:1	18:0/16:1	18:0/18:1	18:0/18:2	18:0/18:3	18:0/20:4	18:0/22:6	18:2/18:1	di14:0	di16:0	di16:1	di18:0	di18:1	di18:2
T101	1	53.4	1.1	1.6	22.2	32.5	187.9	959.7	703.6	1.8	23.6	13.5	35.5	58.2	26.6	18	104.8	511.7	5.7	719.2	42.6	478	0.6	188.7	1.1	10.2	183.2	246.7
T103	2	94	8.9	7	54.1	110.9	212.2	913.1	1399.7	6.3	30.1	21.6	41.1	84.5	54.1	37.5	201.6	429.2	15.4	1294.6	48.9	404.6	0.2	345.9	3.4	59.7	276.1	479.6
T104	3	54.9	8.5	3.9	13.7	45.1	214	901.1	1461.2	25.7	25.2	36	58	187.7	29.1	15.7	450.7	578.6	23	5458.2	251.7	796.8	1.8	247.5	1.8	156.9	611.9	914
T105	4	83.6	3.9	6.2	49.7	95.3	199.6	976.6	2122.7	0.5	18.2	20.8	52.8	54.9	71.5	33.2	277.9	576.3	36.5	3443.1	62.7	822.6	0.3	327.8	4.8	59.6	400.5	990.5
T106	5	71.7	6.7	8.6	47.5	69.3	236.7	1186.3	1366.4	9	18.2	18.3	38.6	58.8	46.8	25.9	272.2	497.7	17.5	2382.3	80.2	601	1.5	317.2	1.3	31	446.6	491
T107	6	140.6	19.9	11.3	120.3	160.6	286.9	1446.7	2307	14.9	38.3	22.4	91.8	134.5	101.3	57.6	373.9	524.9	24	2230.6	106	991.7	2.2	478.9	9.8	66.9	733.1	1175
T108	7	46.2	6.5	7.2	30.9	47.5	171.9	761.5	1057.5	6	12	19.9	31.7	68.5	39.2	27.3	188.6	410.5	16.6	2545.5	80.1	496.5	0.3	258.9	1.1	21.3	261.1	494.8
T109	8	40.1	1.5	4.5	21.4	46.7	148.7	415.9	912.1	4.7	5.3	7.3	30.2	36.4	16	11.4	125	280.7	18	1739.2	92.4	234.7	0.8	248.9	3.9	15.7	173	281
T201	9	63.6	1.5	8.6	49.7	49.1	286.5	1352.9	729.7	34.3	16.2	3.2	90.1	16.1	39.2	25.1	387	382.8	0.2	1507.5	40.1	461.2	0	258	1.8	49.3	1003.3	336.7
T202	10	123.2	0.7	13.8	106.8	94.3	288.1	2024.4	974.1	38.9	39.9	22.4	85.1	39	68.6	34.4	390.5	214.6	14	1340.3	42.4	604.7	2.9	399.4	8	59.1	1122.3	219.6
T203	11	88.7	5.4	7.6	77.7	158.9	147.7	1054.7	751.2	13.3	19.2	13.3	16.6	59.5	106.5	57.4	231.6	230.4	4.3	1185.3	45.4	339.1	4	272	20.4	24.4	496.8	176.2
T204	12	98.7	14.5	9.8	84.4	152.1	160	1025.1	681.7	10.6	17.7	13	48.3	58	109.7	48.1	298	289.2	0.1	1756.6	122.6	430.4	3.7	280.9	15.1	24.7	509.3	137.3
T205	13	121.6	18	14.5	110.8	127	178.2	1157	965.5	13.8	19.5	13.3	46.5	106.4	105.6	55.1	252.8	273.9	6.3	2150	69.6	411.3	2.1	394.4	15.1	25.9	554.7	290.4
T304	14	49.7	1.9	4	25.3	73.6	178.6	873.8	1055.9	1.3	30.2	24	35.3	96.7	31.5	24	163.3	861	10.3	1476	100.4	630.8	0	200.4	1.9	10.3	187.9	535.3
T305	15	23	2.1	2.3	15.3	28.6	106.3	413.8	595.5	1.9	13.7	8.4	16.4	38.6	15.3	13.4	100.2	288.9	6.3	1442.7	79.5	275.1	0.7	114.5	0.7	26.4	133.1	245.7
T306	16	77.4	0.1	2.9	48.8	74.7	177.4	1042.1	2204.2	5.2	33.1	19.4	19.8	89.8	49.8	34.6	264.1	549.6	40.7	2321.5	72.6	1146.6	2.6	327.1	4	50.8	277.4	1558
T307	17	47.9	0.5	5	16	28.2	147.6	652.6	873.8	0	17.6	12	41.3	95.7	25.1	16.4	134	262.2	14.6	773.2	62.3	408	0	169.1	1.8	54.2	232.2	400.5
T308	18	20.6	3.3	1.9	10.7	24.3	125.9	470.2	728.6	2.1	15.6	12.5	26.5	78.9	12.4	7.4	70.9	243.3	1.3	631.9	51.5	240.1	0.7	132.1	1.3	36.2	111.3	214.1
T309	19	28.9	1.1	3.7	16.5	23.1	93	436.7	879.9	1.2	4.7	8.2	-0.4	19.4	18.2	14.3	134.2	584.5	10.6	1392.2	56	502.8	0.8	216.5	1.5	10.3	131.9	545.8
