UO ID,Sample Name,TAG species,Area,IS Area,Area Ratio,Retention Time,Relative RT,pmol,,LOQ<55pmol,,,,
T506,36,52:2,3.25E+05,4.41E+05,0.7377,11.28,0.94,6914.5,,,,,,
T506,36,52:3,4.34E+05,4.41E+05,0.9838,10.71,0.89,9225.8,,,,,,
T506,36,52:4,3.21E+05,4.41E+05,0.7281,10.08,0.84,6824.4,,,,,,
T506,36,52:5,7.50E+04,4.41E+05,0.1701,9.44,0.79,1583.7,,,,,,
T506,36,54:1,1.07E+04,4.41E+05,0.0242,12.32,1.03,213.5,,,,,,
T506,36,54:2,5.28E+04,4.41E+05,0.1197,11.86,0.99,1110.4,,,,,,
T506,36,54:3,1.56E+05,4.41E+05,0.3532,11.36,0.95,3303.4,,,,,,
T506,36,54:4,2.80E+05,4.41E+05,0.6344,10.78,0.9,5944.3,,,,,,
T506,36,54:5,2.78E+05,4.41E+05,0.6314,10.18,0.85,5916.2,,,,,,
T506,36,54:6,1.48E+05,4.41E+05,0.3349,9.52,0.79,3131.5,,,,,,
T506,36,56:2,7.24E+02,4.41E+05,0.0016,12.91,1.08,1.2,,,,,,
T506,36,56:3,7.79E+02,4.41E+05,0.0018,12.28,1.02,3.1,,,,,,
T506,36,56:4,7.93E+03,4.41E+05,0.018,11.88,0.99,155.2,,,,,,
T506,36,56:5,1.68E+04,4.41E+05,0.0382,11.38,0.95,345.0,,,,,,
T506,36,56:6,3.65E+04,4.41E+05,0.0828,10.89,0.91,763.8,,,,,,
T506,36,56:7,6.93E+04,4.41E+05,0.1571,10.36,0.86,1461.6,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
