UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T503,33,14:0 AC,9.98E+03,7.80E+04,0.128,14.49,20.7,,,
T503,33,16:0 AC,6.09E+04,7.80E+04,0.7804,14.18,113.7,,,
T503,33,16:1 AC,9.17E+03,7.80E+04,0.1175,14.3,19.2,,,
T503,33,18:0 AC,5.50E+04,7.80E+04,0.7047,13.95,102.9,,,
T503,33,18:1 AC,6.06E+04,7.80E+04,0.7766,14.05,113.1,,,
T503,33,18:2 AC,3.93E+04,7.80E+04,0.504,14.19,74.3,,,
T503,33,18:3 AC,2.35E+03,7.80E+04,0.0301,14.3,6.8,,,
T503,33,4:0AC,7.95E+02,7.80E+04,0.0102,24.57,3.9,,,
T503,33,6:0AC,1.32E+03,7.80E+04,0.017,18.14,4.9,,,
T503,33,8:0AC,6.11E+03,7.80E+04,0.0783,16.19,13.6,,,
T504,34,10:0AC,2.75E+03,8.93E+04,0.0308,15.24,6.9,,,
T504,34,12:0 AC,1.43E+03,8.93E+04,0.016,14.76,4.8,,,
T504,34,14:0 AC,6.21E+03,8.93E+04,0.0696,14.37,12.4,,,
T504,34,16:0 AC,5.07E+04,8.93E+04,0.5679,14.06,83.4,,,
T504,34,16:1 AC,7.12E+03,8.93E+04,0.0797,14.15,13.8,,,
T504,34,18:0 AC,4.83E+04,8.93E+04,0.5405,13.82,79.5,,,
T504,34,18:1 AC,5.96E+04,8.93E+04,0.6671,13.92,97.5,,,
T504,34,18:2 AC,3.20E+04,8.93E+04,0.3581,14.07,53.5,,,
T504,34,18:3 AC,3.05E+03,8.93E+04,0.0342,14.19,7.4,,,
T504,34,4:0AC,4.58E+03,8.93E+04,0.0513,24.23,9.8,,,
T504,34,6:0AC,2.14E+03,8.93E+04,0.024,18.03,5.9,,,
T504,34,8:0AC,2.44E+03,8.93E+04,0.0274,16.07,6.4,,,
T505,35,10:0AC,3.87E+03,8.20E+04,0.0472,15.19,9.2,,,
T505,35,12:0 AC,1.73E+03,8.20E+04,0.0211,14.68,5.5,,,
T505,35,14:0 AC,5.81E+03,8.20E+04,0.0708,14.31,12.6,,,
T505,35,16:0 AC,4.31E+04,8.20E+04,0.5255,14,77.3,,,
T505,35,16:1 AC,6.82E+03,8.20E+04,0.0832,14.11,14.3,,,
T505,35,18:0 AC,4.66E+04,8.20E+04,0.569,13.77,83.5,,,
T505,35,18:1 AC,3.79E+04,8.20E+04,0.4621,13.87,68.3,,,
T505,35,18:2 AC,1.98E+04,8.20E+04,0.241,14.01,36.8,,,
T505,35,18:3 AC,1.22E+03,8.20E+04,0.0149,14.14,4.6,,,
T505,35,4:0AC,2.24E+03,8.20E+04,0.0273,24.45,6.4,,,
T505,35,6:0AC,7.65E+02,8.20E+04,0.0093,18.01,3.8,,,
T505,35,8:0AC,3.56E+03,8.20E+04,0.0434,16.03,8.7,,,
T506,36,10:0AC,9.06E+03,7.28E+04,0.1245,15.2,20.2,,,
T506,36,12:0 AC,2.75E+03,7.28E+04,0.0378,14.69,7.9,,,
T506,36,14:0 AC,8.14E+03,7.28E+04,0.1119,14.32,18.4,,,
T506,36,16:0 AC,6.85E+04,7.28E+04,0.9412,14.01,136.6,,,
T506,36,16:1 AC,7.84E+03,7.28E+04,0.1077,14.12,17.8,,,
T506,36,18:0 AC,6.26E+04,7.28E+04,0.8601,13.77,125.0,,,
T506,36,18:1 AC,5.26E+04,7.28E+04,0.7227,13.87,105.4,,,
T506,36,18:2 AC,3.37E+04,7.28E+04,0.4629,14.01,68.4,,,
T506,36,18:3 AC,2.04E+03,7.28E+04,0.028,14.16,6.5,,,
T506,36,4:0AC,3.11E+03,7.28E+04,0.0427,24.26,8.6,,,
T506,36,6:0AC,1.83E+03,7.28E+04,0.0251,17.99,6.1,,,
T506,36,8:0AC,8.35E+03,7.28E+04,0.1147,16.01,18.8,,,
