UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T306,16,4:0AC,9.15E+02,8.00E+04,0.0114,24.26,4.1,,,
T306,16,6:0AC,1.83E+03,8.00E+04,0.0229,17.95,5.7,,,
T306,16,8:0AC,7.74E+03,8.00E+04,0.0967,16.01,16.3,,,
T307,17,10:0AC,1.73E+03,8.10E+04,0.0214,15.17,5.5,,,
T307,17,12:0 AC,1.83E+03,8.10E+04,0.0226,14.66,5.7,,,
T307,17,14:0 AC,1.01E+04,8.10E+04,0.1244,14.32,20.2,,,
T307,17,16:0 AC,4.68E+04,8.10E+04,0.5779,14.01,84.8,,,
T307,17,16:1 AC,9.57E+03,8.10E+04,0.1181,14.14,19.3,,,
T307,17,18:0 AC,4.50E+04,8.10E+04,0.5553,13.77,81.6,,,
T307,17,18:1 AC,6.28E+04,8.10E+04,0.7753,13.86,112.9,,,
T307,17,18:2 AC,6.11E+04,8.10E+04,0.7538,14.02,109.9,,,
T307,17,18:3 AC,5.90E+03,8.10E+04,0.0728,14.15,12.9,,,
T307,17,4:0AC,6.03E+02,8.10E+04,0.0074,24.19,3.5,,,
T307,17,6:0AC,3.05E+02,8.10E+04,0.0038,18,3.0,,,
T307,17,8:0AC,1.73E+03,8.10E+04,0.0214,16.01,5.5,,,
T308,18,10:0AC,1.88E+04,6.65E+04,0.2832,15.15,42.8,,,
T308,18,12:0 AC,1.38E+04,6.65E+04,0.2073,14.67,32.0,,,
T308,18,14:0 AC,4.28E+04,6.65E+04,0.6435,14.3,94.2,,,
T308,18,16:0 AC,2.38E+05,6.65E+04,3.5778,14.01,512.1,,,
T308,18,16:1 AC,3.77E+04,6.65E+04,0.5669,14.13,83.2,,,
T308,18,18:0 AC,1.40E+05,6.65E+04,2.1008,13.77,301.7,,,
T308,18,18:1 AC,1.85E+05,6.65E+04,2.7828,13.87,398.9,,,
T308,18,18:2 AC,1.30E+05,6.65E+04,1.956,14.01,281.1,,,
T308,18,18:3 AC,6.41E+03,6.65E+04,0.0965,14.18,16.2,,,
T308,18,4:0AC,2.46E+03,6.65E+04,0.037,24.31,7.8,,,
T308,18,6:0AC,4.78E+03,6.65E+04,0.072,17.92,12.7,,,
T308,18,8:0AC,1.79E+04,6.65E+04,0.2696,16,40.9,,,
